v3,v14,v17,v12,v10,class
-0.03197744,0.454052962,0.466155298,-0.372169964,-0.271525129,0
0.194029761,-0.157848863,-0.388948496,0.941644877,-0.120398077,0
-1.009110682,0.056680107,-0.49597296,0.285951038,-0.185096082,0
0.458407326,-0.135970172,-0.774756812,0.792070782,-1.871283063,0
0.102207462,0.163676813,0.732735658,-0.648325832,0.661399562,0
-0.103337701,0.146365576,-0.787895757,0.470708597,-0.045083656,0
0.029531913,0.341546651,-0.538502866,0.323442629,-0.108232712,0
0.420395713,-0.211482898,-1.19649487,0.710217387,0.655264553,0
0.145686691,0.26386108,0.871548606,-0.706647611,0.634399377,0
-3.855931826,-2.706213425,3.562998922,0.09230335,0.074355626,0
0.204109844,-0.33964027,0.69131193,0.516770358,-0.162892481,0
1.101289915,-0.023473657,-0.48710375,0.467692882,-0.04155645,0
2.376296543,-0.210277835,-0.225662867,0.087112586,-2.043927912,0
1.213523519,-0.634038734,-0.174904354,-0.21930834,1.530752438,0
1.297958617,-0.429776483,0.008790866,-0.077853898,-0.509632339,0
-1.304522403,0.526593134,-0.926933758,0.028934239,0.071668587,0
0.923391893,-0.033831006,-0.805700218,1.273413607,-0.053716151,0
-0.492976673,0.110058122,0.113245353,-0.499134232,1.665168987,0
0.263889825,0.3888762,-0.176629362,0.244788829,0.189102451,0
1.17379376,-0.409340876,-0.178433067,0.489011637,-0.273343878,0
0.435628463,0.077689284,-0.283681223,0.764693626,-1.074067358,0
0.797117638,-0.32056689,0.239240005,-0.854026625,0.591185164,0
1.231578614,0.220135307,0.232497492,0.129408936,-0.109336608,0
0.494268445,0.491831317,0.517533247,-1.522913651,-0.033456581,0
0.290201188,0.808125853,-0.683388619,0.082608679,0.018662256,0
-0.390921871,0.545526118,-0.144718798,0.079961498,-0.14868803,0
-2.879599547,1.957927911,0.448082014,0.703787591,0.403547235,0
1.101149331,0.229469874,-0.174611796,0.799361873,0.560318645,0
0.454901043,0.254043682,-0.009806071,0.565960095,-0.094562479,0
1.449472141,-0.848293955,0.477654118,0.166439172,-0.567895378,0
1.890223414,-1.218041736,0.960315731,0.778158758,0.342572795,0
1.766831971,-0.768153931,0.752626679,1.183237991,-0.584032911,0
1.361405509,0.215360185,-0.626696837,0.325671366,-1.051170961,0
1.121140594,-0.059916138,0.623441701,1.569176823,-1.54737122,0
1.316186665,0.096974422,0.605644835,-1.042893615,0.21865151,0
-0.079499419,1.12631737,-0.520211223,0.244712705,-0.282666489,0
-0.072401047,0.370633708,0.184389566,-0.18405771,-0.130922587,0
-1.338200707,0.226935922,-0.506189485,0.242578905,-0.091211217,0
1.066521959,-0.46076889,-0.463158649,0.489348607,-0.211469316,0
1.332144798,0.261483204,-0.338006742,0.254645311,0.49626761,0
0.252620855,0.406861753,-0.060553493,0.499511119,-0.139802243,0
-0.22501459,-0.420954117,-0.045403693,-0.828928115,0.090214425,0
-1.827396572,2.37791043,0.489855707,1.567518316,-0.161300374,0
0.197976897,0.546943539,0.049309505,-0.301105776,-0.795045443,0
2.944326765,-0.666111364,0.217931798,0.531505423,-0.019465632,0
-1.942926265,-2.262073609,-0.199290686,0.424577906,7.566245225,0
1.042071818,-0.456501401,-0.635272982,0.638789096,-0.15769595,0
-0.961218781,2.080663185,0.796332329,1.128111804,-1.487348027,0
0.345736129,0.154328439,0.287390967,0.322846749,-0.134724148,0
-4.319692205,-2.460399337,3.723050877,0.262753337,0.159931009,0
2.547457251,0.213264924,0.058911887,-0.133766011,-0.075326284,0
0.517227348,-0.436402064,0.102923903,0.128046936,0.484530606,0
0.199018138,-0.260158843,0.651711996,-0.894897832,0.317133305,0
0.541927838,-0.271398335,0.033617214,-0.041689987,1.542367532,0
1.933600255,0.714233305,0.455051684,-0.523401038,-0.288604864,0
-0.364818356,0.229315535,-0.611075911,-0.165407171,-0.077311433,0
1.278886973,-0.110735858,0.062293315,0.443112233,-0.371244636,0
1.010821109,-0.686698291,-0.012410044,0.006684679,0.569134771,0
0.677900086,0.164713639,0.086079841,-0.103086838,0.794769159,0
1.412481744,-0.506947927,0.46215136,-0.202057461,0.676118465,0
2.142825443,-0.715972676,-0.039567944,-0.445373976,1.248743292,0
-1.292832404,-0.112921114,-0.495483473,-0.028146149,-0.217425556,0
0.027945729,0.015644568,0.546189466,1.142614173,-0.257103042,0
0.931208765,-0.165265866,0.195496708,1.284084657,-0.090290461,0
1.205979562,-0.410197852,0.209196869,1.429201201,-0.339284957,0
-0.034691611,-0.149242964,-0.57264056,0.654584024,-0.113237443,0
-0.534197408,0.512985568,-0.417032626,0.503652034,-0.968918818,0
1.158343166,-0.328343466,-0.113215285,0.873302153,-0.400698505,0
0.597918229,0.412874851,-0.339463122,1.380429599,0.049343408,0
0.365683311,0.431787936,-0.211668262,0.464230559,-0.114556737,0
-1.539598896,0.879821649,0.123616219,1.24466191,-1.501736046,0
1.683039568,-0.698617545,0.46536041,0.726505668,0.584487693,0
1.088775984,-1.449896729,1.025052036,-0.387919495,-0.142674013,0
0.916397226,-0.578863817,0.305291592,0.684689476,0.512534381,0
1.046044783,0.478054591,-0.940108744,0.256458989,-0.228783026,0
0.777612205,-0.018909213,0.562301581,-0.331185153,1.553756868,0
-0.451529868,0.460553809,-0.336844747,-0.017845058,-0.092618028,0
0.898608144,-0.714515551,-0.98826238,0.320035342,0.433828809,0
0.193077706,-0.171018925,0.261351932,-0.328717076,0.62488347,0
-0.314972485,-0.215228605,-0.746992175,0.302288571,-0.142967905,0
-1.542337641,-2.822463377,2.900727586,-0.491159758,-1.379169867,0
-0.298333655,-0.25315132,-0.48034103,-0.322672673,-0.43518677,0
0.907851307,0.15593278,-0.990707274,0.386414615,0.359289421,0
0.11843773,0.374530685,-0.404225093,-0.242803139,-0.084959635,0
-0.031021652,0.290554944,-0.89109754,-0.244716078,-0.249021366,0
-0.299159911,-0.340763408,0.293944036,0.345095688,0.551488424,0
2.008094063,-0.514143236,0.954404676,1.114343431,-1.897068883,0
-0.734317741,1.200457397,-0.004380125,-0.205588102,-0.648535254,0
0.171608469,-0.38197949,-0.002112224,-0.068563089,-0.947834536,0
0.705545378,0.029008324,0.332428099,-0.619697,0.934309294,0
0.379348237,0.480494927,-1.171642772,-0.544309065,-1.028094574,0
-0.881762658,-0.076665777,-0.577229873,0.590145697,-1.156201198,0
-1.308085266,0.49343728,-0.229562944,1.06430437,-1.710602233,0
1.347342672,0.173170318,-0.557053641,-0.37703703,-0.304311656,0
0.309890178,-0.325288172,-0.016062208,0.336166372,-0.288344358,0
1.781605439,-1.109550688,-1.383545227,-0.428535182,1.900838478,0
-1.260143881,0.690752221,0.224463304,0.319994491,0.216650453,0
1.319824958,-0.333828432,0.229303295,0.587729939,-0.296444069,0
-0.005346547,-0.392432345,0.240798027,-0.809861763,1.13731362,0
0.128215824,-0.218385873,0.621946598,0.376768371,0.60019852,0
1.310438659,-1.313036042,-0.067154261,0.247962583,-0.02797573,0
1.047956608,-0.428652281,-0.536217649,0.803132067,-0.359400501,0
0.04469556,0.857267876,-1.071548026,0.31947096,0.680670254,0
2.796353237,-0.007330203,-0.787210135,0.75967518,0.377103051,0
-0.14945736,0.964506086,-0.333445258,0.315373836,0.165482592,0
-0.255274966,-0.972567359,0.76207057,0.226290665,-0.490154706,0
0.428844687,0.371089144,-0.789622025,1.070215261,0.072218515,0
1.301842215,-0.068073648,-0.444716901,-0.04284719,-0.545784301,0
-1.351302214,0.580272335,-0.453290775,1.093234725,-2.144851116,0
1.121218144,-0.635959295,-1.014527613,0.12711326,-1.845326918,0
1.746900563,0.188162449,-1.204367526,-0.212864861,0.595127282,0
-0.026757815,-0.631583547,0.212066958,1.210672949,-1.741163146,0
0.947702389,-0.568646599,1.283833496,-0.602020748,-0.525162914,0
2.335799896,0.350706936,0.176538723,0.155126937,-0.859477605,0
0.471054866,-0.614313287,0.462183817,-1.179179634,0.71597403,0
1.718083774,-0.422395982,-1.337987147,0.655750053,-0.650306208,0
-1.324730321,-0.255930443,0.221603536,-0.533374252,0.539298902,0
0.397778675,-0.059311536,-0.80841274,0.812599846,-0.078386846,0
-0.683324851,0.789843222,-0.380067344,-0.119944848,-0.152109443,0
1.142493477,0.392516156,-0.272868082,-0.015938821,0.086277532,0
0.06953182,0.351424823,-0.222211506,0.756657306,0.861088836,0
-0.878694765,0.094631944,0.758725459,-1.074433148,1.926496316,0
0.644378143,0.702023031,-0.625153993,0.582596668,0.120975297,0
1.220272183,0.220614642,-0.256054541,0.674243823,-0.189882265,0
-0.345196118,-0.122794489,-0.921432257,0.159366514,-0.017313564,0
-0.210714951,-1.324869689,0.593204908,0.67050525,-0.605891097,0
1.002015177,-0.979468475,0.436515441,0.75548848,0.254878402,0
0.87695007,0.506706994,-0.193562532,0.154082369,0.553028834,0
0.378789219,-0.316489891,1.128258667,-0.252291129,0.439213675,0
0.842251031,-0.16133532,-0.187315929,-0.186394902,0.648933509,0
0.258784151,-0.078280267,0.324990601,-0.163185053,-0.300189538,0
1.275325408,0.5795296,-0.427489654,0.320927638,-1.019066782,0
1.414739361,-0.084827067,-0.687672451,0.989796499,-0.288799974,0
-0.47694809,1.25282515,0.509559562,2.186200592,-2.096154804,0
0.549700833,0.092506152,0.167163299,0.293846667,-0.44352717,0
0.692966525,-0.052199565,0.374397069,-0.545021097,-0.610468266,0
2.794562988,0.061805093,-0.260965189,0.114450934,-0.574189409,0
1.15043369,-0.420362212,0.293322188,0.446709857,-0.489396153,0
1.246320006,0.142516468,-0.114024829,0.418108258,0.732517915,0
2.154949082,-0.460617303,0.498397624,1.021045753,0.050686865,0
-0.302190954,0.498858599,-0.684467127,-0.304238275,-0.157191532,0
0.11675582,-0.108695482,0.653443081,0.083633023,0.616386973,0
-1.188060871,0.927120169,-0.642084568,0.267274052,-0.827855492,0
1.709540092,0.335044135,-0.444838291,1.068547481,-0.122028568,0
0.401779123,-0.047724009,0.487071788,1.15432076,-0.593393757,0
0.93391064,0.563008742,-1.160940962,0.551635488,-0.379773077,0
0.414815001,0.758828882,-0.391623199,0.468332644,0.138742613,0
0.889644441,-0.216137979,-0.442593308,0.903186814,-0.113107,0
1.263254754,0.744959383,-0.310467809,-0.477952255,-0.744043535,0
0.48901917,0.354988168,-0.519445904,-0.110265589,0.926883139,0
-0.996554518,0.22523514,0.055288695,-0.981008486,0.933222691,0
1.519491042,0.533522766,0.346902102,-0.544624339,0.085549268,0
0.1835748,1.044738931,0.040094223,0.44076546,-0.583309954,0
0.237139337,0.415974312,0.215172452,-0.079990536,1.023661337,0
-0.101762466,-0.233960552,-0.697389899,0.015118854,0.755859438,0
2.266209444,-0.320081001,0.423372299,0.86110268,-0.41285461,0
0.413659724,-0.303984733,0.780563066,-0.720806672,1.389961989,0
0.700041412,-0.165505176,0.487269235,-1.419305866,1.446962373,0
-1.203676168,1.449766981,0.157074195,-0.027695113,-0.555595986,0
-0.236393332,0.657714436,0.370806649,0.079008917,1.090541853,0
0.50806701,-0.743810314,0.417714565,0.723161891,-0.664426292,0
-0.489367177,-0.119625106,0.178522242,0.8059325,-1.710736535,0
0.833237751,-0.324960702,-0.038485087,1.520172164,-0.469003217,0
0.776785414,0.114296986,-0.063998047,0.746218991,-0.1472897,0
0.563728295,-0.047733951,0.470511614,0.442340114,-1.230326062,0
-0.080001246,-0.296041248,-0.002378843,-1.235980631,1.408036125,0
0.468673308,0.141549718,-0.454239688,0.659618305,-0.104154993,0
1.969025392,0.056025008,0.314792283,0.104948133,0.313810331,0
2.054769967,0.333602317,-0.907988066,-0.360572386,-0.249097368,0
0.630514967,0.213869979,-0.046921351,0.757755847,-0.120687914,0
0.109593317,-0.040138988,0.673128383,-0.09957657,0.626504757,0
1.286381494,-0.671893607,0.273023554,1.089410866,-0.396128991,0
0.83257866,0.084924166,-0.781317322,-0.136816558,-0.888686024,0
1.354640062,-0.637518337,1.528208515,-0.411251823,1.179179532,0
1.691861144,-1.181058393,0.480933869,0.770935374,-0.577891751,0
0.718684693,0.890274074,0.072809328,-0.195856636,-0.077989154,0
1.576398052,-0.090800651,-0.789152526,0.3198587,0.436340795,0
0.74324174,0.908167172,-0.347855012,-0.263091462,0.371392889,0
0.15463676,-0.263986563,0.60955048,0.485881474,0.603317372,0
2.004859434,-1.011804216,-0.372869544,0.212344229,0.02176597,0
-0.237269356,0.591789134,-0.227742067,0.304536533,-0.108036591,0
0.270342432,-0.129705151,-0.38201938,0.347983734,-0.200886721,0
0.979750287,0.30036216,-0.765915104,0.554265485,0.106848674,0
1.257559722,-0.109113771,0.339906796,0.60668627,-0.420018697,0
1.445696733,-0.539020947,0.090014431,0.372954838,-0.530727073,0
1.10702094,0.137587683,0.768139759,0.42464868,-0.28864583,0
